"","Y","X1","X2"
"1",19.8940507552937,44.3952435344779,0
"2",22.847552013552,47.6982251051672,1
"3",27.3405301003476,65.5870831414912,1
"4",20.1947719577197,50.7050839142458,1
"5",20.1489579922215,51.2928773516095,0
"6",26.5844042903093,67.1506498688328,1
"7",22.5087276844086,54.609162059892,0
"8",15.4599387839727,37.3493876539347,0
"9",19.8933882176907,43.1314714810647,0
"10",17.9138523741661,45.5433802990004,0
"11",25.777668323477,62.2408179743946,0
"12",18.98108746784,53.5981382705736,0
"13",18.6820038622659,54.0077145059405,0
"14",28.8141280177202,51.1068271594512,1
"15",17.4987614194169,44.4415886524593,0
"16",27.9571945934907,67.8691313680308,1
"17",22.7666907827554,54.9785047822924,0
"18",13.1325872786936,30.3338284337036,0
"19",25.1377917933183,57.0135590156369,1
"20",21.3195548315864,45.2720859227207,1
"21",16.3657678667561,39.3217629401315,0
"22",21.4766613230757,47.820250853417,1
"23",18.8538521476014,39.7399555169276,1
"24",24.0702301101589,42.7110877070886,1
"25",16.6422100039066,43.7496073215074,0
"26",12.7479275336234,33.1330668925759,0
"27",22.5889379318257,58.3778704449452,0
"28",23.0810808523958,51.5337311783652,1
"29",19.4586361467845,38.6186306298805,1
"30",24.8447140977876,62.5381492106993,1
"31",21.1527403964881,54.2646422147681,1
"32",21.6411559032022,47.0492851700773,0
"33",23.986076207228,58.9512566104502,1
"34",20.9033747372924,58.7813348753304,0
"35",21.9921841070303,58.2158108163749,0
"36",21.6715689736032,56.8864025410009,0
"37",23.88159354004,55.5391765353759,0
"38",21.9837394526642,49.3808828942328,1
"39",20.5902195791493,46.9403733626008,0
"40",19.8600029626183,46.1952899898762,1
"41",20.3447696824017,43.0529302107949,1
"42",20.7268763429595,47.920827219804,1
"43",16.3929780016423,37.3460364843174,0
"44",26.7161411800605,71.6895596533851,1
"45",21.002282928259,62.0796199830499,0
"46",22.6251010198859,38.7689141679665,1
"47",19.9927631414476,45.9711516470092,0
"48",18.0974912158805,45.3334464637678,1
"49",23.1175635216481,57.7996511833632,1
"50",19.3789326313899,49.1663093352817,1
"51",25.1575762397517,52.5331851399475,0
"52",22.5391856868209,49.714532446513,0
"53",21.3410985147333,49.5712954270868,1
"54",25.1921949705076,63.6860228401446,0
"55",20.4940071471845,47.7422901434073,1
"56",25.5969180240575,65.1647060442954,1
"57",13.7765359116088,34.5124719576978,0
"58",20.5646067139892,55.8461374963607,0
"59",23.6733776662072,51.2385424384461,0
"60",22.539768456061,52.1594156874397,1
"61",23.3774089211348,53.7963948275988,1
"62",20.9804044998703,44.976765468907,1
"63",23.4653296059624,46.6679261633058,1
"64",17.9121461887892,39.8142461689291,1
"65",16.7996120197892,39.2820877352442,1
"66",26.2619797890192,53.0352864140426,1
"67",20.4623029020777,54.4820977862943,0
"68",18.7128807403118,50.530042267305,0
"69",20.2942561658726,59.2226746787974,0
"70",25.5808226122458,70.5008468562714,1
"71",19.3789595432344,45.0896883394346,1
"72",14.3084650074106,26.9083112435919,0
"73",25.2369118512462,60.0573852446226,0
"74",19.287574419924,42.9079923741761,0
"75",19.2086595564074,43.1199138353264,1
"76",25.1962139838593,60.255713696967,1
"77",19.7364880514868,47.1522699294899,1
"78",14.9034105400884,37.7928228774546,0
"79",22.3132114372013,51.8130347974915,0
"80",19.5521407554758,48.6110863756096,1
"81",25.9278804886846,50.0576418589989,1
"82",20.9752020154473,53.8528040112633,0
"83",19.3170975578812,46.2933996820759,0
"84",20.4560742360774,56.4437654851883,0
"85",18.1897629350172,47.7951343818125,0
"86",18.3613136271366,53.317819639157,0
"87",22.9246662627026,60.9683901314935,0
"88",22.1435092823503,54.351814908338,0
"89",19.6708139317291,46.7406841446877,0
"90",23.8833498812438,61.4880761845109,1
"91",21.4032676261784,59.9350385596212,0
"92",20.6407934418385,55.4839695950807,0
"93",23.708316545027,52.3873173511144,0
"94",17.8416745305504,43.7209392396063,1
"95",25.7238541568296,63.6065244853001,1
"96",24.0039448819165,43.9974041285287,1
"97",28.3600492083921,71.8733299301658,1
"98",21.8781504709128,65.3261062618519,0
"99",17.9633600521504,47.6429964089952,0
"100",19.8916572568894,39.7357909969322,1
